pole_joint_pos,pole_joint_vel,cart_joint_pos,cart_joint_vel
0.2110067456960678,-2.4057745933532715,-0.02123929187655449,-1.6432068347930908
0.1625661551952362,-2.973900318145752,-0.05457247793674469,-2.052260637283325
0.1149698793888092,-2.7225799560546875,-0.08780890703201294,-1.9127552509307861
0.07481954246759415,-2.2254326343536377,-0.11650805920362473,-1.6063615083694458
0.04303210973739624,-1.73720383644104,-0.13998174667358398,-1.3004812002182007
0.01845538057386875,-1.3356003761291504,-0.15890049934387207,-1.046292781829834
-0.00039205601206049323,-1.021013855934143,-0.17416051030158997,-0.8448174595832825
-0.014769225381314754,-0.7760693430900574,-0.18652614951133728,-0.6855538487434387
-0.0256832093000412,-0.5868113040924072,-0.19660991430282593,-0.560120701789856
-0.03390862047672272,-0.43970826268196106,-0.20488300919532776,-0.4602893590927124
-0.040024545043706894,-0.32395294308662415,-0.2116975635290146,-0.3794839680194855
-0.04446488991379738,-0.23176226019859314,-0.21731755137443542,-0.31299862265586853
-0.04756000638008118,-0.1576073318719864,-0.221944659948349,-0.25751861929893494
-0.04957199841737747,-0.09796929359436035,-0.22574006021022797,-0.21097849309444427
-0.050713613629341125,-0.05014950782060623,-0.2288360297679901,-0.17180165648460388
-0.05115801468491554,-0.011945514008402824,-0.23134158551692963,-0.13869816064834595
-0.051047079265117645,0.018361981958150864,-0.23334744572639465,-0.11066332459449768
-0.05049766227602959,0.042162686586380005,-0.234929621219635,-0.08688320964574814
-0.049605999141931534,0.06060914695262909,-0.23615197837352753,-0.06667893379926682
-0.04845118895173073,0.07465976476669312,-0.23706823587417603,-0.049482010304927826
-0.04709808900952339,0.08511237800121307,-0.23772358894348145,-0.034815628081560135
-0.04559968039393425,0.09262954443693161,-0.23815606534481049,-0.02228052355349064
-0.04399913176894188,0.09776010364294052,-0.2383977323770523,-0.011542833410203457
-0.04233147203922272,0.10095909237861633,-0.23847565054893494,-0.0023226996418088675
-0.04062496870756149,0.10260307043790817,-0.23841272294521332,0.005614202469587326
-0.03890232741832733,0.10300265997648239,-0.23822830617427826,0.012463917024433613
-0.03718165308237076,0.10241435468196869,-0.23793885111808777,0.018390914425253868
-0.03547724336385727,0.10104984045028687,-0.23755832016468048,0.023533323779702187
-0.03380029648542404,0.09908217936754227,-0.23709861934185028,0.028006497770547867
-0.03215942904353142,0.09665405005216599,-0.23656992614269257,0.03190780058503151
-0.030561160296201706,0.09388209879398346,-0.23598091304302216,0.035319048911333084
-0.029010295867919922,0.09086146950721741,-0.23533913493156433,0.038309067487716675
-0.02751024439930916,0.08766940236091614,-0.23465096950531006,0.040935859084129333
