base_ang_vel_x,base_ang_vel_y,base_ang_vel_z,projected_gravity_x,projected_gravity_y,projected_gravity_z,velocity_command_x,velocity_command_y,velocity_command_z,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_pos_7,joint_pos_8,joint_pos_9,joint_pos_10,joint_pos_11,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,action_11
0.0681227371096611,0.01563960313796997,0.018864411860704422,-0.10031150281429291,-0.3479529619216919,0.932129979133606,0.031341552734375,-0.031982421875,-0.031982421875,0.9564045667648315,-0.956043004989624,0.9556001424789429,1.1556776762008667,1.0173537731170654,-2.3753368854522705,-0.5128011703491211,1.208146333694458,-0.7544045448303223,0.7039852142333984,0.7040395736694336,-0.7492551803588867,-0.009991895407438278,0.012551555410027504,-0.012561160139739513,-0.012713873758912086,-0.029142996296286583,0.006311799865216017,0.011322017759084702,-0.018450794741511345,0.000410937936976552,-0.06368296593427658,-0.06308449059724808,0.0002816759515553713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0012438700068742037,-0.0003310181200504303,0.0008120796992443502,-0.10451986640691757,-0.33790165185928345,0.9353598952293396,0.031341552734375,-0.031982421875,-0.031982421875,0.949673056602478,-0.9495968818664551,0.945225715637207,1.147887945175171,0.9990234971046448,-2.3717291355133057,-0.49415677785873413,1.186171054840088,-0.7571718692779541,0.6652919054031372,0.6652534008026123,-0.7492997646331787,-0.0008105984306894243,0.0009518093429505825,-0.00021338535589165986,-0.00047132783220149577,0.00048545311437919736,0.00042347502312622964,0.010977239347994328,-0.0003796154342126101,-0.00036382704274728894,-0.004957502242177725,-0.004868675488978624,1.0951242984447163e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.873984239064157e-05,-3.75431336578913e-05,0.00014386209659278393,-0.10454422235488892,-0.33790409564971924,0.9353562593460083,0.031341552734375,-0.031982421875,-0.031982421875,0.9491633176803589,-0.9489516019821167,0.9450855255126953,1.1476192474365234,0.9992875456809998,-2.371479034423828,-0.46698129177093506,1.1858975887298584,-0.7579746246337891,0.6624327301979065,0.6624358892440796,-0.7492375373840332,-6.829114136053249e-05,0.0001211854032590054,-5.554516610573046e-05,-5.605655678664334e-05,3.061331153730862e-05,2.5704173822305165e-05,0.013848207890987396,-7.807338988641277e-05,-0.00036888555041514337,-0.0002817732165567577,-0.00027332379249855876,2.9825501769664697e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.9074787966674194e-05,-2.986472645716276e-05,0.00014097442908678204,-0.10454622656106949,-0.3378957509994507,0.935359001159668,0.031341552734375,-0.031982421875,-0.031982421875,0.9491404294967651,-0.9489089250564575,0.9450579881668091,1.147600531578064,0.9992989897727966,-2.3714702129364014,-0.46131616830825806,1.1858634948730469,-0.7581222057342529,0.6623275876045227,0.6623381972312927,-0.7492256164550781,-5.2837986004306003e-05,9.870153007796034e-05,-7.611135515617207e-05,-4.0439215808873996e-05,2.7718453566194512e-05,1.93569649127312e-05,0.01434823777526617,-8.993955998448655e-05,-0.0003691619203891605,-0.00025834221742115915,-0.00023575157683808357,2.9776216251775622e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.426747626799624e-06,-1.7707880033412948e-05,0.0001378068554913625,-0.1045493632555008,-0.3378913700580597,0.935360312461853,0.031341552734375,-0.031982421875,-0.031982421875,0.9491187334060669,-0.9488725662231445,0.9450249671936035,1.1475883722305298,0.9993094801902771,-2.3714637756347656,-0.455458402633667,1.1858258247375488,-0.7582697868347168,0.6622247695922852,0.6622463464736938,-0.749213695526123,-5.5530399549752474e-05,8.682200132170692e-05,-8.54987811180763e-05,-2.48066644417122e-05,2.5352379452669993e-05,1.4629556972067803e-05,0.014818315394222736,-9.65522849583067e-05,-0.00036944609018974006,-0.0002567931078374386,-0.00022649241145700216,2.9703891414101236e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.248446980956942e-05,-7.265267413458787e-06,0.0001351613609585911,-0.10455364733934402,-0.33789101243019104,0.9353598952293396,0.031341552734375,-0.031982421875,-0.031982421875,0.9490957260131836,-0.9488400220870972,0.9449892044067383,1.1475812196731567,0.9993191361427307,-2.3714587688446045,-0.4494193196296692,1.1857860088348389,-0.7584176063537598,0.6621220707893372,0.6621575951576233,-0.7492020130157471,-5.893310299143195e-05,7.829121750546619e-05,-9.132103878073394e-05,-1.4062227819522377e-05,2.3286009309231304e-05,1.158593840955291e-05,0.015262915752828121,-0.00010042318899650127,-0.0003695790655910969,-0.00025673600612208247,-0.0002193110849475488,2.9671302399947308e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-4.2392450268380344e-05,5.973333827569149e-07,0.00013290454808156937,-0.10455883294343948,-0.3378933370113373,0.9353585243225098,0.031341552734375,-0.031982421875,-0.031982421875,0.9490715265274048,-0.9488104581832886,0.9449516534805298,1.1475775241851807,0.9993279576301575,-2.3714544773101807,-0.44320666790008545,1.1857452392578125,-0.7585656642913818,0.6620193719863892,0.6620715856552124,-0.749190092086792,-6.107875378802419e-05,7.15854621375911e-05,-9.525597124593332e-05,-7.145224572013831e-06,2.137432420568075e-05,9.615690032660495e-06,0.015691157430410385,-0.00010263584408676252,-0.0003696961503010243,-0.0002567612682469189,-0.00021242667571641505,2.965012754430063e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-5.469227835419588e-05,6.342577762552537e-06,0.00013086755643598735,-0.10456465184688568,-0.33789733052253723,0.9353563785552979,0.031341552734375,-0.031982421875,-0.031982421875,0.9490468502044678,-0.9487831592559814,0.9449129104614258,1.1475757360458374,0.9993360638618469,-2.3714511394500732,-0.43682533502578735,1.185703992843628,-0.7587134838104248,0.6619166731834412,0.6619883179664612,-0.7491781711578369,-6.218934868229553e-05,6.624279194511473e-05,-9.785272413864732e-05,-2.7526236863195663e-06,1.9577290004235692e-05,8.29126474855002e-06,0.016109924763441086,-0.00010374659905210137,-0.0003698206855915487,-0.00025678303791210055,-0.00020563698490150273,2.963143379020039e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-6.203480006661266e-05,1.0479498087079264e-05,0.00012895153486169875,-0.10457092523574829,-0.3379024267196655,0.9353538751602173,0.031341552734375,-0.031982421875,-0.031982421875,0.9490218162536621,-0.9487577676773071,0.9448733329772949,1.1475753784179688,0.9993434548377991,-2.371448040008545,-0.4302777051925659,1.1856622695922852,-0.7588615417480469,0.6618139147758484,0.6619077324867249,-0.7491662502288818,-6.254587788134813e-05,6.19281709077768e-05,-9.949237573891878e-05,1.325301024479586e-08,1.787505425454583e-05,7.36010042601265e-06,0.01652412861585617,-0.00010412220581201836,-0.00036995194386690855,-0.00025679959799163043,-0.0001988594449358061,2.961290010716766e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-6.617448525503278e-05,1.3419095012068283e-05,0.00012710149167105556,-0.10457749664783478,-0.3379080891609192,0.9353510737419128,0.031341552734375,-0.031982421875,-0.031982421875,0.9489967823028564,-0.948733925819397,0.9448332786560059,1.147575855255127,0.9993501305580139,-2.3714451789855957,-0.4235647916793823,1.1856207847595215,-0.7590093612670898,0.6617112159729004,0.6618298888206482,-0.7491545677185059,-6.236454646568745e-05,5.838584547745995e-05,-0.00010044928785646334,1.727258563732903e-06,1.625483128009364e-05,6.675148597423686e-06,0.016937289386987686,-0.00010401959298178554,-0.00037008753861300647,-0.0002568129566498101,-0.0001920389331644401,2.959471930807922e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
