rootstate0,rootstate1,rootstate2,rootstate3,rootstate4,rootstate5,rootstate6,rootstate7,rootstate8,rootstate9,rootstate10,rootstate11,rootstate12,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_pos_7,joint_pos_8,joint_pos_9,joint_pos_10,joint_pos_11,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,foot_pos_0_x,foot_pos_0_y,foot_pos_0_z,foot_pos_1_x,foot_pos_1_y,foot_pos_1_z,foot_pos_2_x,foot_pos_2_y,foot_pos_2_z,foot_pos_3_x,foot_pos_3_y,foot_pos_3_z,foot_vel_0_x,foot_vel_0_y,foot_vel_0_z,foot_vel_0_rx,foot_vel_0_ry,foot_vel_0_rz,foot_vel_1_x,foot_vel_1_y,foot_vel_1_z,foot_vel_1_rx,foot_vel_1_ry,foot_vel_1_rz,foot_vel_2_x,foot_vel_2_y,foot_vel_2_z,foot_vel_2_rx,foot_vel_2_ry,foot_vel_2_rz,foot_vel_3_x,foot_vel_3_y,foot_vel_3_z,foot_vel_3_rx,foot_vel_3_ry,foot_vel_3_rz
2.032440423965454,0.43730106949806213,0.31003397703170776,-0.26191791892051697,-0.02714380994439125,0.009782223030924797,0.9646586775779724,0.6672089695930481,0.32438310980796814,-0.09326688200235367,-0.3051912486553192,-0.01196196861565113,0.6711075901985168,-0.2656898498535156,0.02963533252477646,-0.020676620304584503,0.06366021931171417,1.0270333290100098,0.35153287649154663,0.4252172112464905,0.9252464771270752,-1.7564749717712402,-1.7235236167907715,-1.5396504402160645,-1.6419262886047363,-0.4233444333076477,-0.31129953265190125,0.7828313112258911,0.2206696718931198,-1.8228092193603516,-1.1370210647583008,3.270749807357788,-2.5260024070739746,-0.9236561059951782,-2.697145938873291,-3.0290348529815674,-0.40710312128067017,1.9512914419174194,0.29987072944641113,0.020890407264232635,1.6952180862426758,0.38607391715049744,0.04567946866154671,2.195343017578125,0.3641738295555115,0.029461752623319626,2.1796576976776123,0.6555289626121521,0.0227646604180336,0.1511014997959137,-0.03550948202610016,-0.04252439737319946,-1.3197623491287231,2.4915354251861572,1.3233635425567627,0.27073532342910767,-0.07775890827178955,0.6368203163146973,-1.965134859085083,3.4509072303771973,0.44557100534439087,1.3776954412460327,0.4959680438041687,0.2773617208003998,-0.8571860790252686,-0.6164437532424927,0.6371309161186218,-0.13212978839874268,-0.10982856899499893,-0.23277537524700165,-1.9621394872665405,2.400534152984619,0.37753063440322876
2.038006544113159,0.440006822347641,0.30925559997558594,-0.2646465301513672,-0.027918491512537003,0.008884440176188946,0.9639002680778503,0.6552078723907471,0.30547696352005005,-0.08954379707574844,-0.2472391277551651,-0.04696854203939438,0.6508516669273376,-0.26922160387039185,0.02703871950507164,-0.014147542417049408,0.06550143659114838,1.0118281841278076,0.34204918146133423,0.4525061845779419,0.9041749835014343,-1.7641804218292236,-1.7460243701934814,-1.5649216175079346,-1.645322561264038,-0.4875733256340027,-0.20033305883407593,0.533670961856842,0.3156925141811371,-1.7252306938171387,-0.5769835114479065,4.509117126464844,-2.3968725204467773,-0.9232114553451538,-2.955476760864258,-3.896554946899414,-0.34918439388275146,1.952924132347107,0.3007241487503052,0.019912168383598328,1.6978837251663208,0.3864709436893463,0.050507329404354095,2.207108736038208,0.3695080578327179,0.031704653054475784,2.178866386413574,0.6557871103286743,0.02203354984521866,0.16714641451835632,-0.015743181109428406,-0.03342123329639435,-1.171207070350647,2.3987009525299072,1.2965734004974365,0.41220661997795105,-0.030563104897737503,0.6090362071990967,-1.8694911003112793,3.091094493865967,0.4526946544647217,1.557502031326294,0.6960810422897339,0.33537280559539795,-0.3926313519477844,-0.8461323976516724,0.6355288624763489,-0.07103472948074341,-0.12260209023952484,-0.20222337543964386,-1.904334306716919,2.1472957134246826,0.3684879541397095
2.0434725284576416,0.4425550699234009,0.30850860476493835,-0.26729628443717957,-0.02843000367283821,0.008055385202169418,0.9631612300872803,0.6420209407806396,0.29107990860939026,-0.0785304605960846,-0.1881653368473053,-0.06297380477190018,0.658899188041687,-0.2732892334461212,0.025368157774209976,-0.009695952758193016,0.06813506782054901,0.9974355697631836,0.3372375965118408,0.49012723565101624,0.8841795921325684,-1.7718822956085205,-1.7706809043884277,-1.597430944442749,-1.6482352018356323,-0.5730640292167664,-0.12158647179603577,0.686557948589325,0.1676148921251297,-1.655961275100708,0.01974286139011383,5.379989147186279,-2.379243850708008,-0.8850870132446289,-3.161907434463501,-4.166632652282715,-0.30478137731552124,1.9544696807861328,0.301533967256546,0.019155986607074738,1.701514720916748,0.38705599308013916,0.05536951869726181,2.220123291015625,0.3762841820716858,0.03442249819636345,2.1783668994903564,0.6557312607765198,0.021256230771541595,0.17471061646938324,0.013204991817474365,-0.024274125695228577,-0.9971339106559753,2.329378843307495,1.2972924709320068,0.5488654971122742,0.02473469078540802,0.5775125026702881,-1.6953779458999634,2.6915533542633057,0.4889891743659973,1.739040493965149,0.7798131704330444,0.37833407521247864,-0.15064239501953125,-1.4565675258636475,0.6497797966003418,-0.09007513523101807,-0.08160214126110077,-0.15568304061889648,-1.6983314752578735,2.1453938484191895,0.38577553629875183
2.048828125,0.44498252868652344,0.3078533411026001,-0.26997655630111694,-0.02872268669307232,0.007353871129453182,0.9624102711677551,0.6305777430534363,0.2789433002471924,-0.06214608997106552,-0.13094210624694824,-0.07870106399059296,0.6874167323112488,-0.27807027101516724,0.024353960528969765,-0.003967860247939825,0.06953248381614685,0.9836223125457764,0.3374041020870209,0.5350066423416138,0.8643333911895752,-1.7792651653289795,-1.7970564365386963,-1.6321868896484375,-1.6507775783538818,-0.6941242814064026,-0.35300907492637634,1.1237250566482544,0.008491694927215576,-1.6381198167800903,0.49712371826171875,6.014273643493652,-2.399064779281616,-0.8223857879638672,-3.117806911468506,-3.8865749835968018,-0.1435784548521042,1.9559369087219238,0.3023397922515869,0.018624231219291687,1.7061454057693481,0.38787326216697693,0.06016001105308533,2.2344844341278076,0.3835082948207855,0.03753233328461647,2.17757248878479,0.6557698249816895,0.02060093730688095,0.17177249491214752,0.04696600139141083,-0.017022639513015747,-0.8076736330986023,2.3022167682647705,1.327073335647583,0.6278154850006104,0.12353803217411041,0.5377838015556335,-1.186537504196167,2.342684745788574,0.5641100406646729,1.9451074600219727,0.7940132021903992,0.3922727108001709,0.016262218356132507,-2.480404853820801,0.6844406127929688,-0.10688773542642593,-0.031094342470169067,-0.12218478322029114,-1.4447500705718994,2.0835893154144287,0.43539515137672424
2.0540881156921387,0.44730937480926514,0.3073350787162781,-0.272752583026886,-0.028798038139939308,0.006776617839932442,0.9616292715072632,0.6126993298530579,0.2642422318458557,-0.03843461722135544,-0.03477228060364723,-0.16358618438243866,0.7090229392051697,-0.28386086225509644,0.02140776999294758,0.005407474469393492,0.06960311532020569,0.9699579477310181,0.3415523171424866,0.5851766467094421,0.844321608543396,-1.7861249446868896,-1.8230631351470947,-1.6646056175231934,-1.6519742012023926,-0.6764436960220337,-0.501392126083374,1.460070013999939,-0.025130167603492737,-1.6866201162338257,1.0192883014678955,6.4731035232543945,-2.27780818939209,-0.6444828510284424,-2.9279184341430664,-3.4962406158447266,-0.020452935248613358,1.9572358131408691,0.3031862676143646,0.018307924270629883,1.7113014459609985,0.389293909072876,0.06481986492872238,2.250415086746216,0.39061641693115234,0.040776725858449936,2.1765100955963135,0.6559779644012451,0.01997321844100952,0.1982017606496811,0.05993330478668213,-0.028680935502052307,-0.6716950535774231,2.0944254398345947,1.3313814401626587,0.7330725789070129,0.2157469391822815,0.43734487891197205,-0.606641411781311,1.7238377332687378,0.6393086910247803,2.1097161769866943,0.8224343061447144,0.4281708002090454,0.2842683494091034,-3.4637441635131836,0.7351829409599304,-0.061530787497758865,0.012751974165439606,-0.06449626386165619,-1.2057721614837646,1.8013942241668701,0.4848667085170746
2.059199810028076,0.44951385259628296,0.3070143461227417,-0.2755902409553528,-0.028341053053736687,0.006214877590537071,0.9608372449874878,0.5953056812286377,0.25054681301116943,-0.014173571020364761,0.074148029088974,-0.27487558126449585,0.7180933952331543,-0.2895035743713379,0.017224805429577827,0.017588935792446136,0.06939338147640228,0.9558870196342468,0.3500574231147766,0.6391793489456177,0.8253192901611328,-1.7915009260177612,-1.847488284111023,-1.6937716007232666,-1.6521446704864502,-0.5079310536384583,-0.3545514941215515,1.5010786056518555,-0.00708325719460845,-1.6804417371749878,1.6490185260772705,6.682923316955566,-2.0950303077697754,-0.36890265345573425,-2.842559576034546,-3.0801315307617188,0.017855145037174225,1.9582524299621582,0.3038223087787628,0.018204033374786377,1.716906189918518,0.3912149667739868,0.06927726417779922,2.267256259918213,0.39765602350234985,0.0440635085105896,2.175349235534668,0.6562211513519287,0.01935773342847824,0.2745704650878906,0.06078407168388367,-0.054156020283699036,-0.5692229866981506,1.6577191352844238,1.273932933807373,0.888530433177948,0.2687886953353882,0.31245386600494385,-0.2561151385307312,0.9250933527946472,0.6827717423439026,2.179772138595581,0.8899884819984436,0.4655052125453949,0.7062807083129883,-4.125378131866455,0.8040341138839722,0.005376309156417847,0.04985567927360535,0.0061401426792144775,-1.0082017183303833,1.4866604804992676,0.5175535082817078
2.0641655921936035,0.4516029953956604,0.3068965673446655,-0.2784392535686493,-0.027246495708823204,0.005611354485154152,0.9600508809089661,0.5852708220481873,0.23909540474414825,0.00416138581931591,0.16839008033275604,-0.3782685101032257,0.7164047360420227,-0.2937396466732025,0.01426810771226883,0.030109688639640808,0.06933464109897614,0.941869854927063,0.3638148903846741,0.6949252486228943,0.8078442215919495,-1.7945771217346191,-1.871199369430542,-1.7194628715515137,-1.6519958972930908,-0.32887834310531616,-0.2252475619316101,1.5093393325805664,0.021318567916750908,-1.5915336608886719,2.156444787979126,6.850478649139404,-1.9245550632476807,-0.09382888674736023,-2.6230177879333496,-2.4473819732666016,0.014490514993667603,1.9592705965042114,0.3041364848613739,0.018259301781654358,1.7232844829559326,0.39332205057144165,0.07348337769508362,2.2841193675994873,0.40494075417518616,0.047225307673215866,2.1741387844085693,0.6564322710037231,0.01882113516330719,0.37255460023880005,0.07023893296718597,-0.08409582823514938,-0.4432290494441986,1.158454179763794,1.177938461303711,1.018113613128662,0.31454065442085266,0.17636947333812714,0.10946956276893616,0.13641247153282166,0.7087332606315613,2.2632830142974854,0.9682349562644958,0.4666355550289154,1.2395979166030884,-4.904656410217285,0.8887053728103638,0.07281303405761719,0.07684871554374695,0.06783939152956009,-0.8603993654251099,1.2208077907562256,0.5337915420532227
2.0690484046936035,0.45359763503074646,0.306931734085083,-0.2812715172767639,-0.02558089792728424,0.004934234544634819,0.9592745900154114,0.5801559090614319,0.23077179491519928,0.016986830160021782,0.25738927721977234,-0.47462570667266846,0.6911397576332092,-0.2964823842048645,0.012389743700623512,0.04270079731941223,0.0695124939084053,0.9285939931869507,0.3818051218986511,0.7520720958709717,0.791790246963501,-1.7953590154647827,-1.8930797576904297,-1.7398762702941895,-1.6518750190734863,-0.17672491073608398,-0.21181410551071167,1.5880250930786133,0.05380004644393921,-1.5134855508804321,2.413215160369873,7.079914569854736,-1.7415351867675781,0.15474718809127808,-2.1291348934173584,-1.6562607288360596,-0.038822952657938004,1.9605265855789185,0.30426451563835144,0.01840554177761078,1.7302873134613037,0.39560532569885254,0.07726816087961197,2.301191568374634,0.4126385748386383,0.04993394762277603,2.1729257106781006,0.6565970778465271,0.01838655024766922,0.4589215815067291,0.08642420917749405,-0.11909819394350052,-0.31556588411331177,0.7126150131225586,1.0647484064102173,1.0894441604614258,0.3639967739582062,0.024215541779994965,0.5884446501731873,-0.5993862152099609,0.7112388610839844,2.3959083557128906,1.0480488538742065,0.4538128972053528,1.8334529399871826,-5.894176006317139,0.9780923128128052,0.14564378559589386,0.10094518214464188,0.1258801370859146,-0.7393870949745178,0.9918882846832275,0.522787868976593
2.073888063430786,0.45552271604537964,0.3070729970932007,-0.2840006351470947,-0.023381277918815613,0.004177507013082504,0.9585298895835876,0.5787845253944397,0.2257121056318283,0.026066748425364494,0.33731889724731445,-0.5459719896316528,0.6452522873878479,-0.2979559898376465,0.010622721165418625,0.05594733729958534,0.06996113806962967,0.9159690737724304,0.4019354581832886,0.8111299872398376,0.7772636413574219,-1.7940672636032104,-1.9108383655548096,-1.7536900043487549,-1.652199387550354,-0.05729401484131813,-0.16315597295761108,1.5992259979248047,0.07387592643499374,-1.4823026657104492,2.776559829711914,7.165461540222168,-1.5790104866027832,0.3693464696407318,-1.812252402305603,-0.850936770439148,-0.09988804161548615,1.9619594812393188,0.3042844533920288,0.018594354391098022,1.7374740839004517,0.3981139063835144,0.08043470978736877,2.318927764892578,0.4208015203475952,0.05205991119146347,2.1717801094055176,0.6567183136940002,0.018080733716487885,0.5186377763748169,0.1033966988325119,-0.15372079610824585,-0.20915016531944275,0.37576743960380554,0.9513927698135376,1.1744920015335083,0.426358163356781,-0.09915349632501602,0.9982892870903015,-1.265837550163269,0.682938277721405,2.4939301013946533,1.124910831451416,0.4437265694141388,2.4124581813812256,-6.706243991851807,1.0642828941345215,0.21191741526126862,0.12391733378171921,0.17416685819625854,-0.6305263042449951,0.8189788460731506,0.4892321527004242
2.078716278076172,0.4574053883552551,0.30729037523269653,-0.286539763212204,-0.020753003656864166,0.003388494485989213,0.9578375220298767,0.5805402994155884,0.22114884853363037,0.033702269196510315,0.4039251208305359,-0.6141282320022583,0.5913132429122925,-0.2984335124492645,0.009261560626327991,0.06928907334804535,0.07057748734951019,0.903603196144104,0.4251009225845337,0.8709077835083008,0.7640914916992188,-1.7909849882125854,-1.9259564876556396,-1.7607860565185547,-1.6530325412750244,0.04991871863603592,0.022079195827245712,1.4914476871490479,0.09421029686927795,-1.4682458639144897,3.379026412963867,7.04829740524292,-1.452308177947998,0.5530163049697876,-1.4943656921386719,-0.10907198488712311,-0.13261082768440247,1.9634703397750854,0.304218053817749,0.018795400857925415,1.745065689086914,0.4009771943092346,0.08307172358036041,2.3371596336364746,0.429421603679657,0.053669147193431854,2.170771360397339,0.6568011045455933,0.017904378473758698,0.5695582628250122,0.11541567742824554,-0.18542063236236572,-0.1290300339460373,0.08811783045530319,0.8422041535377502,1.3193254470825195,0.4935303330421448,-0.258271187543869,1.4189753532409668,-2.2014148235321045,0.6425647139549255,2.5354864597320557,1.1960108280181885,0.4453321695327759,2.9375853538513184,-7.2212724685668945,1.1421866416931152,0.27725300192832947,0.140287384390831,0.21095135807991028,-0.5376738905906677,0.6560739278793335,0.447017639875412
