pole_joint_pos,pole_joint_vel,cart_joint_pos,cart_joint_vel
0.028295973315835,-0.2616264820098877,-0.002261781832203269,-0.17469929158687592
0.021286960691213608,-0.4575475752353668,-0.006946479436010122,-0.306111216545105
0.011630363762378693,-0.5994409918785095,-0.013405753299593925,-0.4012505114078522
7.311877561733127e-05,-0.7009406685829163,-0.02112947590649128,-0.46855875849723816
-0.012842554599046707,-0.7735352516174316,-0.02973509579896927,-0.5151995420455933
-0.026734251528978348,-0.8259226679801941,-0.03893996402621269,-0.5466063022613525
-0.04133975878357887,-0.8646249175071716,-0.04853663966059685,-0.5668560266494751
-0.05648687481880188,-0.8945220708847046,-0.058374013751745224,-0.5789991021156311
-0.07206916064023972,-0.9191423654556274,-0.06834203004837036,-0.5852345824241638
-0.0880274847149849,-0.9410218000411987,-0.07836009562015533,-0.5871343016624451
-0.10433682054281235,-0.9619852900505066,-0.08836857974529266,-0.5858184099197388
-0.12099666148424149,-0.9833494424819946,-0.0983227863907814,-0.5820816159248352
-0.13802428543567657,-1.0060685873031616,-0.10818856209516525,-0.5764840841293335
-0.15544985234737396,-1.0308388471603394,-0.11793911457061768,-0.5694165229797363
-0.17331302165985107,-1.0581743717193604,-0.12755274772644043,-0.5611473321914673
-0.19166061282157898,-1.0884655714035034,-0.13701122999191284,-0.5518583059310913
-0.2105448842048645,-1.1220145225524902,-0.14629866182804108,-0.5416672229766846
-0.23002241551876068,-1.159058928489685,-0.1554003804922104,-0.5306417942047119
-0.25015324354171753,-1.1997931003570557,-0.16430255770683289,-0.5188130736351013
-0.2710004448890686,-1.244396448135376,-0.1729915589094162,-0.5061930418014526
-0.2926299571990967,-1.2930341958999634,-0.18145376443862915,-0.492775022983551
-0.3151102662086487,-1.3458600044250488,-0.1896751970052719,-0.47853508591651917
-0.33851245045661926,-1.4030227661132812,-0.19764132797718048,-0.4634349048137665
-0.3629099726676941,-1.4646683931350708,-0.2053368091583252,-0.44742414355278015
-0.3883788585662842,-1.5309429168701172,-0.2127453237771988,-0.4304409623146057
-0.4149973690509796,-1.6019937992095947,-0.2198493927717209,-0.4124128222465515
-0.4428465664386749,-1.6779687404632568,-0.22663012146949768,-0.3932550251483917
-0.4720096290111542,-1.7590069770812988,-0.23306702077388763,-0.37286385893821716
-0.502572238445282,-1.8452491760253906,-0.2391376793384552,-0.35112279653549194
-0.5346224308013916,-1.9368394613265991,-0.2448175698518753,-0.32790273427963257
-0.5682509541511536,-2.0339243412017822,-0.25007984042167664,-0.3030604124069214
-0.6035507321357727,-2.1366519927978516,-0.25489503145217896,-0.27643686532974243
-0.6406177282333374,-2.2451751232147217,-0.2592308521270752,-0.2478562444448471
-0.6795503497123718,-2.359649181365967,-0.2630518972873688,-0.21712400019168854
-0.7204498648643494,-2.480236053466797,-0.2663191258907318,-0.18402566015720367
-0.7634203433990479,-2.6071033477783203,-0.26898977160453796,-0.14832356572151184
-0.8085694313049316,-2.740450382232666,-0.271016925573349,-0.1097746342420578
-0.8560085296630859,-2.880500078201294,-0.2723495066165924,-0.06811916083097458
-0.9058531522750854,-3.027491569519043,-0.27293169498443604,-0.023070311173796654
